 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs78 78 1 1 0 2 1 0 0 8 6 1 30 4 9 7 1 1 4 1 3 15 5 80 5 8 110 6 1 4 8 0 100 2 1 
Obs79 79 0 0 0 3 1 2 6 0 7 1 33 3.5 1 0 5 2 2 1 1 5 8 90 5 10 45 1 5 10 10 0 70 0 1 
Obs80 80 1 1 0 2 1 0 6 1 5 0 27 3.9 2 0 15 1 2 1 5 4 5 73 5 10 22 2 0 5 5 0 0 7 1 
Obs81 81 1 1 0 2 1 0 0 7 3 0 31 3.9 10 15 1 1 5 1 4 5 6 80 5 7 900 3 2 5 9 0 90 5 1 
Obs82 82 0 0 0 2 1 3 0 5 6 1 29 3.6 0 0 1 1 4 1 2 5 3 100 5 8 60 5 0 5 7 0 0 7 1 
Obs83 83 1 1 0 2 1 3 5 0 8 1 24 3.2 0 0 0 0 0 1 3 2 5 25 6 5 200 5 5 7 8 10 100 4 1 
Obs84 84 1 1 0 2 1 0 7 1 5 0 31 3.8 15 15 0 0 3 1 4 20 7 200 5 7 400 3 3 3 10 0 80 0 1 
Obs85 85 1 1 1 3 1 2 0 7 1 0 19 2.9 5 6 5 2 2 1 5 4 7 171 6 9 60 4 0 3 8 10 0 8 1 
Obs86 86 0 0 0 2 1 3 6 1 5 1 32 3.7 5 3 1 2 1 1 1 3 2 75 5 8 30 4 0 5 8 5 50 9 1 
Obs87 87 1 1 1 2 1 0 0 7 5 1 27 4 10 9 0 1 2 1 2 5 5 100 5 5 300 6 5 4 7 0 90 7 1 
Obs88 88 0 0 1 0 1 0 0 7 5 0 25 3.8 3 4 1 1 3 1 4 2 5 66 1 5 90 7 1 6 8 0 0 9 1 
Obs89 89 1 1 0 2 1 4 3 2 1 1 26 3.3 4 4 0 1 5 1 3 2 8 100 5 6 100 2 0 3 7 0 10 4 1 
Obs90 90 1 1 0 1 1 0 0 1 5 0 26 4 4 0 1 1 20 1 5 10 4 110 5 9 110 1 0 9 9 0 100 4 1 
Obs91 91 0 0 0 2 0 0 7 0 0 1 32 3.1 0 0 0 0 1 1 0 3 0 90 5 5 120 6 2 4 8 0 100 10 1 
Obs92 92 1 1 0 2 1 5 0 5 10 0 24 3.9 1 0 0 0 50 1 7 3 5 80 6 5 250 5 0 5 10 0 100 9 1 
Obs93 93 1 1 0 3 0 4 3 5 8 1 30 3.4 4 6 1 2 3 0 1 6 7 10000 5 7 1000 6 0 8 10 0 100 7 1 
